epoch,lanes,gpu_util,gpu_power_w
1787252293,0,0,24.79
1787252294,0,0,23.10
1787252295,30,0,26.60
1787252296,30,0,38.67
1787252297,30,0,38.50
1787252298,30,23,39.72
1787252299,30,24,42.33
1787252300,30,22,42.22
1787252301,30,22,42.15
1787252302,30,23,42.13
1787252303,30,21,41.72
1787252304,30,17,40.89
1787252305,30,22,40.91
1787252306,30,21,40.82
1787252307,30,21,41.00
1787252308,30,22,40.96
1787252309,30,23,40.99
1787252311,30,23,41.03
1787252312,30,22,41.01
1787252313,30,21,41.04
1787252314,30,22,41.02
1787252315,30,21,41.13
1787252316,30,21,41.07
1787252317,30,21,41.04
1787252318,30,21,41.05
1787252319,30,21,41.10
1787252320,30,21,41.15
1787252321,30,22,41.19
1787252322,30,22,41.25
1787252323,30,21,41.22
1787252324,30,21,41.12
1787252325,30,21,41.13
1787252326,30,22,41.19
1787252327,30,21,41.22
1787252328,30,22,41.23
1787252329,30,22,41.22
1787252330,30,21,41.21
1787252331,30,22,41.31
1787252332,30,21,41.29
1787252333,30,21,41.28
1787252334,30,21,41.30
1787252336,30,21,41.31
1787252337,30,22,41.38
1787252338,30,21,41.37
1787252339,30,22,41.34
1787252340,30,21,41.37
1787252341,30,21,41.43
1787252342,30,21,41.42
1787252343,30,22,41.54
1787252344,30,21,41.58
1787252345,30,21,41.43
1787252346,30,21,41.41
1787252347,30,21,41.43
1787252348,30,21,41.40
1787252349,30,21,41.51
1787252350,30,21,41.47
1787252351,30,21,41.52
1787252352,30,22,41.57
1787252353,30,22,41.68
1787252354,30,21,41.72
1787252355,30,21,41.63
1787252356,30,21,41.58
1787252357,30,21,41.55
1787252358,30,22,41.55
1787252359,30,21,41.62
1787252360,30,21,41.61
1787252362,30,22,41.60
1787252363,30,22,41.61
1787252364,30,22,41.66
1787252365,30,22,41.67
1787252366,30,21,41.63
1787252367,30,23,41.65
1787252368,30,22,41.71
1787252369,30,22,41.74
1787252370,30,22,41.84
1787252371,30,21,41.72
1787252372,30,22,41.75
1787252373,30,21,41.81
1787252374,30,21,41.77
1787252375,30,22,41.83
1787252376,30,21,41.83
1787252377,30,21,41.76
1787252378,30,21,41.73
1787252379,30,22,41.78
1787252380,30,21,41.78
1787252381,30,21,41.78
1787252382,30,21,41.78
1787252383,30,22,41.81
1787252384,30,21,41.88
1787252385,30,21,41.87
1787252387,30,22,41.92
1787252388,30,21,41.88
1787252389,30,21,41.91
1787252390,30,22,41.92
1787252391,30,21,41.95
1787252392,30,21,41.93
1787252393,30,21,42.00
1787252394,30,21,42.00
1787252395,30,21,41.93
1787252396,30,22,42.05
1787252397,30,21,42.09
1787252398,30,21,42.09
1787252399,30,21,42.06
1787252400,30,21,42.04
1787252401,30,21,41.99
1787252402,30,21,42.07
1787252403,30,21,42.03
1787252404,30,20,42.04
1787252405,30,21,41.99
1787252406,30,21,41.90
1787252407,30,21,42.06
1787252408,30,22,42.11
1787252409,30,22,42.18
1787252410,30,21,42.12
1787252411,30,21,42.19
1787252413,30,21,42.20
1787252414,30,21,42.11
1787252415,30,21,42.12
1787252416,30,21,42.13
1787252417,30,22,42.19
1787252418,30,22,42.24
1787252419,30,21,42.20
1787252420,30,21,42.41
1787252421,30,22,42.49
1787252422,30,22,42.48
1787252423,30,21,42.37
1787252424,30,21,42.41
1787252425,30,21,42.32
1787252426,30,21,42.43
1787252427,30,21,42.54
1787252428,30,21,42.49
1787252429,30,22,42.51
1787252430,30,22,42.56
1787252431,30,21,42.53
1787252432,30,22,42.48
1787252433,30,21,42.56
