epoch,lanes,gpu_util,gpu_power_w
1787253384,0,0,0
1787253386,30,0,0
1787253388,30,0,0
1787253391,30,0,0
1787253393,30,0,0
1787253395,30,0,0
1787253397,30,0,0
1787253399,30,0,0
1787253401,30,0,0
1787253403,30,0,0
1787253405,30,0,0
1787253408,30,0,0
1787253410,30,0,0
1787253412,30,0,0
1787253414,30,0,0
1787253416,30,0,0
1787253418,30,0,0
1787253420,30,0,0
1787253423,30,0,0
1787253425,30,0,0
1787253427,30,0,0
1787253429,30,0,0
1787253431,30,0,0
1787253433,30,0,0
1787253435,30,0,0
1787253438,30,0,0
1787253440,30,0,0
1787253442,30,0,0
1787253444,30,0,0
1787253446,30,0,0
1787253448,30,0,0
1787253450,30,0,0
1787253453,30,0,0
1787253455,30,0,0
1787253457,30,0,0
1787253459,30,0,0
1787253461,30,0,0
1787253463,30,0,0
1787253465,30,0,0
1787253468,30,0,0
1787253470,30,0,0
1787253472,30,0,0
1787253474,30,0,0
1787253476,30,0,0
1787253478,30,0,0
1787253480,30,0,0
1787253483,30,0,0
1787253485,30,0,0
1787253487,30,0,0
1787253489,30,0,0
1787253491,30,0,0
1787253493,30,0,0
1787253495,30,0,0
1787253498,30,0,0
1787253500,30,0,0
1787253502,30,0,0
1787253504,30,0,0
1787253506,30,0,0
1787253508,30,0,0
1787253510,30,0,0
1787253513,30,0,0
1787253515,30,0,0
1787253517,30,0,0
1787253519,30,0,0
1787253521,30,0,0
1787253523,30,0,0
1787253525,30,0,0
1787253528,30,0,0
1787253530,30,0,0
1787253532,30,0,0
1787253534,30,0,0
1787253536,30,0,0
1787253538,30,0,0
1787253540,30,0,0
1787253542,30,0,0
1787253545,30,0,0
1787253547,30,0,0
1787253549,30,0,0
1787253551,30,0,0
1787253553,30,0,0
1787253555,30,0,0
1787253557,30,0,0
1787253560,30,0,0
1787253562,30,0,0
1787253564,30,0,0
1787253566,30,0,0
1787253568,30,0,0
1787253570,30,0,0
1787253572,30,0,0
1787253575,30,0,0
1787253577,30,0,0
1787253579,30,0,0
1787253581,30,0,0
1787253583,30,0,0
1787253585,30,0,0
1787253587,30,0,0
1787253589,30,0,0
1787253592,30,0,0
1787253594,30,0,0
1787253596,30,0,0
1787253598,30,0,0
1787253600,30,0,0
1787253602,30,0,0
1787253604,30,0,0
1787253607,30,0,0
1787253609,30,0,0
1787253611,30,0,0
1787253613,30,0,0
1787253615,30,0,0
1787253617,30,0,0
1787253619,30,0,0
1787253622,30,0,0
1787253624,30,0,0
1787253626,30,0,0
1787253628,30,0,0
1787253630,30,0,0
1787253632,30,0,0
1787253634,30,0,0
1787253637,30,0,0
1787253639,30,0,0
1787253641,30,0,0
1787253643,30,0,0
1787253645,30,0,0
1787253647,30,0,0
1787253649,30,0,0
1787253651,30,0,0
1787253654,30,0,0
1787253656,30,0,0
1787253658,30,0,0
1787253660,30,0,0
1787253662,30,0,0
1787253664,30,0,0
1787253666,30,0,0
1787253668,30,0,0
1787253671,30,0,0
1787253673,30,0,0
1787253675,30,0,0
1787253677,30,0,0
1787253679,30,0,0
1787253681,30,0,0
1787253683,30,0,0
1787253686,30,0,0
1787253688,30,0,0
1787253690,30,0,0
1787253692,30,0,0
1787253694,30,0,0
1787253696,30,0,0
1787253698,30,0,0
1787253701,30,0,0
1787253703,30,0,0
1787253705,30,0,0
1787253707,30,0,0
1787253709,30,0,0
1787253711,30,0,0
1787253713,30,0,0
1787253715,30,0,0
1787253718,30,0,0
1787253720,30,0,0
1787253722,30,0,0
1787253724,30,0,0
1787253726,30,0,0
1787253728,30,0,0
1787253730,30,0,0
1787253733,30,0,0
1787253735,30,0,0
1787253737,30,0,0
1787253739,30,0,0
1787253741,30,0,0
1787253743,30,0,0
1787253745,30,0,0
1787253748,30,0,0
1787253750,30,0,0
