t_s,parent_cpu,worker_cpu_mean,worker_cpu_p90,worker_cpu_max,worker_cpu_sum,tree_cpu,system_cpu,children,parent_threads,parent_rss_mb,tree_rss_mb,mem_available_mb,parent_ctx_vol,parent_ctx_invol,gpu_util,gpu_mem_util,gpu_mem_used_mb,gpu_power_w,gpu_clock_sm
2.0,298.6,,,,,298.6,9.4,0,42,515.6,515.6,29198.1,53,68,0,1,2,7.71,180
4.0,79.3,74.93,194.8,196.5,2322.7,2402.0,20.8,31,50,753.7,3817.2,27029.1,119,72,0,1,19,7.70,180
6.1,1.5,103.42,136.7,147.5,3205.9,3207.4,91.4,31,50,753.7,13497.4,22654.8,159,72,0,0,156,16.27,2580
8.1,30.7,93.65,100.1,100.6,2903.3,2934.0,83.0,31,55,1205.5,15928.1,20277.8,205,72,0,0,222,16.17,2580
10.1,107.8,21.85,31.8,34.3,677.4,785.2,22.1,31,80,1314.8,16278.4,20031.5,832,72,5,0,222,23.32,2767
12.1,109.2,8.79,9.9,11.4,272.5,381.7,10.9,31,80,1315.8,16283.8,20029.0,1846,73,4,0,222,22.98,2767
14.1,108.9,8.9,10.4,10.9,276.0,384.9,11.4,31,80,1316.6,16289.1,20017.8,2799,73,5,0,222,23.10,2767
16.1,109.6,9.32,10.9,11.9,289.0,398.6,11.2,31,80,1317.4,16293.5,20036.1,3713,73,4,0,222,22.92,2767
18.2,109.5,9.95,12.4,14.4,308.5,418.0,11.7,31,80,1318.2,16297.8,20054.9,4472,73,5,0,222,22.99,2767
20.2,109.5,10.16,12.9,13.9,315.0,424.5,11.9,31,80,1318.9,16300.4,20070.9,5184,73,5,0,222,22.94,2767
22.2,109.5,10.13,11.9,14.9,314.0,423.5,12.1,31,80,1319.5,16303.5,20085.4,5955,73,5,0,222,23.12,2767
24.2,109.0,10.44,12.4,13.4,323.5,432.5,12.2,31,80,1320.0,16307.3,20097.2,6570,73,4,0,222,22.94,2767
26.2,109.5,11.16,13.9,14.9,346.0,455.5,13.2,31,80,1320.4,16310.6,20105.5,7255,73,5,0,222,23.14,2767
28.3,108.8,11.98,16.3,18.3,371.4,480.2,13.4,31,80,1320.7,16313.5,20108.0,7781,73,5,0,222,22.95,2767
30.3,109.5,13.01,15.9,17.8,403.3,512.8,14.6,31,80,1321.1,16314.6,20112.0,8417,73,4,0,222,23.05,2775
32.3,109.4,12.46,14.9,16.3,386.4,495.8,13.9,31,80,1321.4,16315.3,20113.5,8985,73,5,0,222,23.35,2775
34.3,109.0,11.4,13.4,13.9,353.5,462.5,13.0,31,80,1321.6,16316.0,20111.8,9708,73,5,0,222,23.40,2767
36.3,110.0,12.18,14.9,15.9,377.5,487.5,14.2,31,80,1321.9,16316.9,20089.6,10269,73,5,0,222,23.51,2775
38.4,108.4,12.55,15.3,16.8,389.2,497.6,14.1,31,80,1322.1,16317.7,20090.0,10793,73,5,0,222,23.41,2767
40.4,110.0,11.69,13.9,14.9,362.5,472.5,13.2,31,80,1322.3,16318.3,20098.8,11279,73,5,0,222,23.15,2767
42.4,109.0,12.06,14.9,17.3,373.9,482.9,13.6,31,80,1322.5,16319.2,20103.7,11799,73,5,0,222,23.33,2767
44.4,109.0,12.42,14.9,17.3,384.9,493.9,14.1,31,80,1322.7,16320.8,20101.8,12431,73,5,0,222,23.48,2767
46.4,109.8,12.54,15.3,19.8,388.7,498.5,14.0,31,80,1322.9,16322.7,20105.8,12986,73,5,0,222,23.39,2760
48.4,109.0,12.78,15.9,18.8,396.2,505.2,14.5,31,80,1323.0,16324.6,20110.9,13678,73,5,0,222,23.43,2752
50.5,109.5,12.11,15.4,18.8,375.3,484.8,13.9,31,80,1323.1,16325.6,20114.8,14312,73,5,0,222,23.58,2752
52.5,109.5,12.07,15.8,16.8,374.1,483.6,13.6,31,80,1323.2,16326.7,20115.5,14789,73,5,0,222,23.46,2760
54.5,108.8,11.77,15.3,16.8,365.0,473.8,13.3,31,80,1323.2,16328.0,20117.3,15325,73,4,0,222,23.20,2760
56.5,109.3,12.13,14.3,17.3,376.1,485.4,13.6,31,80,1323.2,16329.1,20118.3,15842,74,5,0,222,23.49,2752
58.5,109.0,12.48,15.9,17.3,386.8,495.8,14.1,31,80,1323.3,16330.5,20115.3,16456,74,5,0,222,23.59,2760
60.6,109.8,12.37,17.8,19.3,383.5,493.3,14.4,31,80,1323.4,16331.4,20118.0,17097,75,5,0,222,23.65,2745
62.6,109.4,12.57,15.3,17.3,389.6,499.0,13.9,31,80,1323.4,16332.4,20118.6,17633,75,5,0,222,23.74,2760
64.6,109.5,12.11,15.9,17.3,375.4,484.9,13.6,31,80,1323.5,16333.4,20120.3,18234,75,5,0,222,23.77,2752
66.6,109.5,12.36,14.9,16.8,383.2,492.7,13.7,31,80,1323.5,16334.4,20121.0,18814,75,5,0,222,23.83,2760
68.6,109.0,11.4,14.4,15.4,353.5,462.5,13.0,31,80,1323.6,16335.6,20121.4,19334,75,5,0,222,23.63,2752
70.7,109.8,11.96,15.8,16.3,370.9,480.7,13.5,31,80,1323.6,16336.2,20121.8,19832,75,4,0,222,23.68,2752
72.7,109.0,11.64,13.9,16.3,360.9,469.9,13.5,31,80,1323.7,16336.9,20118.5,20366,75,5,0,222,23.88,2760
74.7,108.4,11.12,13.4,14.8,344.7,453.1,13.3,31,80,1323.7,16337.7,20114.9,20813,75,5,0,222,23.58,2760
76.7,109.5,12.47,15.9,19.3,386.7,496.2,13.9,31,80,1323.8,16338.7,20090.3,21243,75,4,0,222,23.49,2760
78.7,109.4,12.64,15.8,16.4,391.8,501.2,14.0,31,80,1323.8,16339.5,20097.3,21658,75,5,0,222,23.87,2760
80.8,109.4,11.95,14.8,16.8,370.4,479.8,13.4,31,80,1323.8,16340.2,20103.8,22234,75,5,0,222,23.87,2752
82.8,108.8,11.49,14.3,15.3,356.1,464.9,13.3,31,80,1323.9,16341.1,20091.5,22853,75,5,0,222,23.66,2752
84.8,109.5,10.97,12.4,13.4,340.0,449.5,12.8,31,80,1323.9,16341.8,20096.1,23376,76,4,0,222,23.49,2752
86.8,108.8,12.2,16.3,18.8,378.3,487.1,13.7,31,80,1323.9,16342.8,20100.3,23844,76,4,0,222,23.57,2760
88.8,109.4,11.87,14.9,15.4,368.0,477.4,13.3,31,80,1324.0,16343.4,20103.4,24346,76,5,0,222,23.83,2752
90.9,109.5,11.85,15.4,16.8,367.2,476.7,13.5,31,80,1324.0,16344.1,20102.8,24840,76,5,0,222,23.70,2760
92.9,109.0,11.79,16.3,18.8,365.6,474.6,13.2,31,80,1324.0,16344.8,20103.4,25379,76,5,0,222,23.81,2760
94.9,109.0,11.7,14.9,18.3,362.7,471.7,13.6,31,80,1324.0,16345.4,20098.6,25962,76,5,0,222,23.61,2760
96.9,109.9,11.83,14.4,17.3,366.8,476.7,13.6,31,80,1324.0,16346.1,20098.5,26559,76,5,0,222,23.83,2752
98.9,109.5,10.8,14.9,15.8,334.9,444.4,12.4,31,80,1324.1,16346.6,20097.2,27055,76,5,0,222,23.57,2760
101.0,108.9,10.39,12.9,14.4,322.2,431.1,12.5,31,80,1324.1,16347.2,20084.4,27599,76,5,0,222,23.75,2767
103.0,109.0,11.4,13.9,17.3,353.4,462.4,13.0,31,80,1324.1,16347.8,20095.0,28261,76,4,0,222,23.64,2752
105.0,109.5,11.31,13.4,15.4,350.5,460.0,13.3,31,80,1324.1,16348.4,20084.1,28791,76,5,0,222,23.87,2752
107.0,109.4,11.59,13.4,16.3,359.3,468.7,13.1,31,80,1324.1,16348.9,20068.1,29383,76,5,0,222,24.08,2760
109.0,109.0,11.24,15.4,16.8,348.4,457.4,12.9,31,80,1324.1,16349.1,20070.0,29941,76,5,0,222,24.09,2760
111.0,109.3,11.12,14.8,15.3,344.6,453.9,13.0,31,80,1324.1,16349.4,20080.6,30519,76,4,0,222,23.87,2752
113.1,109.0,10.74,12.9,14.4,333.0,442.0,12.7,31,80,1324.1,16349.6,20072.8,31172,76,4,0,222,23.78,2752
115.1,109.3,10.98,13.4,16.8,340.3,449.6,12.6,31,80,1324.1,16349.9,20080.9,31949,76,5,0,222,23.96,2752
117.1,109.0,10.42,12.4,14.4,323.0,432.0,12.4,31,80,1324.1,16350.2,20087.4,32649,76,5,0,222,24.12,2752
119.1,109.5,11.05,14.4,15.4,342.5,452.0,12.6,31,80,1324.1,16350.4,20092.6,33281,77,5,0,222,24.25,2752
121.1,109.0,11.15,12.9,15.9,345.5,454.5,13.1,31,80,1324.2,16350.5,20095.6,34107,77,5,0,222,24.15,2752
123.2,109.3,10.45,12.4,13.4,324.0,433.3,12.2,31,80,1324.2,16350.8,20098.5,34965,77,5,0,222,24.26,2752
125.2,109.5,9.77,12.4,12.9,303.0,412.5,11.8,31,80,1324.2,16351.0,20100.6,35711,77,5,0,222,24.19,2760
127.2,109.0,10.18,12.4,13.4,315.5,424.5,11.9,31,80,1324.2,16351.2,20101.3,36389,77,5,0,222,24.06,2760
129.2,109.5,10.44,12.9,14.4,323.5,433.0,12.3,31,80,1324.2,16351.3,20096.8,37179,77,5,0,222,24.15,2752
131.2,109.5,9.94,11.9,12.4,308.0,417.5,11.8,31,80,1324.2,16351.6,20096.6,38118,77,5,0,222,24.04,2752
133.3,109.5,10.13,12.4,14.4,314.0,423.5,12.0,31,80,1324.2,16351.8,20098.0,38889,77,5,0,222,23.99,2760
135.3,109.5,10.16,12.4,14.9,315.0,424.5,12.1,31,80,1324.2,16352.0,20102.8,39599,77,5,0,222,23.91,2760
137.3,108.9,10.0,12.4,13.9,310.0,418.9,11.9,31,80,1324.2,16352.1,20103.7,40242,77,4,0,222,23.82,2752
139.3,109.0,9.79,12.4,12.9,303.5,412.5,11.8,31,80,1324.3,16352.2,20103.4,40964,77,4,0,222,23.86,2752
141.3,109.0,10.16,12.4,14.4,315.0,424.0,11.9,31,80,1324.3,16352.4,20104.8,41655,77,4,0,222,24.11,2752
143.4,108.9,9.32,10.9,12.9,289.0,397.9,11.2,31,80,1324.3,16352.6,20105.8,42328,77,5,0,222,24.20,2752
145.4,109.0,9.95,11.9,13.9,308.5,417.5,12.1,31,80,1324.3,16352.7,20101.2,42996,77,5,0,222,23.92,2752
147.4,109.4,9.34,11.4,11.9,289.5,398.9,11.2,31,80,1324.3,16352.9,20102.2,43888,77,4,0,222,24.39,2752
149.4,108.9,9.77,12.4,14.3,302.9,411.8,11.6,31,80,1324.3,16353.0,20101.0,44672,78,5,0,222,24.25,2752
151.4,108.9,9.35,11.4,12.9,290.0,398.9,11.8,31,80,1324.3,16353.1,20088.5,45389,78,5,0,222,24.27,2752
153.5,109.4,9.08,10.9,11.9,281.5,390.9,10.9,31,80,1324.3,16353.3,20090.9,46398,78,5,0,222,24.25,2760
155.5,109.9,8.95,10.9,12.9,277.5,387.4,10.8,31,80,1324.3,16353.4,20093.2,47409,78,5,0,222,24.44,2760
157.5,108.8,9.03,11.4,13.4,280.0,388.8,11.1,31,80,1324.4,16353.6,20093.4,48067,78,5,0,222,24.15,2760
159.5,109.5,9.19,11.4,11.9,285.0,394.5,13.3,31,80,1324.4,16353.8,20081.6,48939,78,5,0,222,24.11,2752
161.5,108.5,9.06,11.4,12.4,281.0,389.5,10.9,31,80,1324.4,16353.9,20083.5,49826,78,5,0,222,24.23,2752
163.5,109.4,9.1,10.9,11.4,282.0,391.4,11.3,31,80,1324.5,16354.1,20086.3,50798,78,5,0,222,24.20,2752
165.6,109.0,9.35,11.4,12.9,290.0,399.0,11.3,31,80,1324.5,16354.2,20087.1,51697,78,5,0,222,24.37,2752
