t_s,parent_cpu,worker_cpu_mean,worker_cpu_p90,worker_cpu_max,worker_cpu_sum,tree_cpu,system_cpu,children,parent_threads,parent_rss_mb,tree_rss_mb,mem_available_mb,parent_ctx_vol,parent_ctx_invol,gpu_util,gpu_mem_util,gpu_mem_used_mb,gpu_power_w,gpu_clock_sm
2.0,302.6,,,,,302.6,8.7,0,42,597.4,597.4,29113.8,192,45,0,1,2,7.91,180
4.2,73.5,89.09,101.6,112.0,3296.4,3369.9,29.1,37,50,753.4,5444.3,26059.0,277,50,0,1,142,7.91,615
6.2,2.0,91.74,115.7,150.7,3394.2,3396.2,95.0,37,50,753.4,16236.3,21067.0,317,51,0,0,156,17.95,2580
8.3,2.0,93.17,97.2,97.2,3447.4,3449.4,96.9,37,50,753.4,18183.5,19281.2,360,51,0,0,156,17.81,2580
10.3,84.9,33.8,41.7,42.1,1250.6,1335.5,37.8,37,86,1314.5,19238.2,18272.2,897,51,6,0,222,23.69,2752
12.3,110.8,7.78,8.9,9.4,287.7,398.5,11.3,37,86,1315.7,19249.6,18279.2,1737,51,5,0,222,24.83,2752
14.3,110.6,8.44,10.4,10.9,312.4,423.0,11.8,37,86,1316.6,19254.8,18272.9,2587,51,5,0,222,24.87,2760
16.3,110.4,8.25,9.9,10.4,305.4,415.8,11.9,37,86,1317.4,19258.7,18284.5,3434,51,4,0,222,24.90,2760
18.3,110.4,8.88,10.4,11.4,328.4,438.8,12.5,37,86,1318.3,19263.6,18303.5,4171,52,5,0,222,24.85,2760
20.4,110.8,9.27,10.4,11.4,342.9,453.7,13.4,37,86,1319.1,19268.7,18304.7,4861,52,5,0,222,24.89,2760
22.4,109.9,9.44,11.4,11.9,349.4,459.3,13.1,37,86,1319.7,19270.5,18310.6,5630,52,5,0,222,24.89,2760
24.4,110.8,9.7,11.9,13.4,358.9,469.7,13.2,37,86,1320.3,19274.3,18303.9,6327,52,5,0,222,24.93,2760
26.4,110.7,10.43,11.9,12.9,385.9,496.6,13.9,37,86,1320.8,19278.9,18320.4,6951,52,5,0,222,24.92,2760
28.4,110.7,10.28,12.4,14.3,380.3,491.0,13.7,37,86,1321.1,19281.0,18342.5,7569,52,5,0,222,24.80,2760
30.5,110.3,10.55,12.4,13.3,390.2,500.5,14.2,37,86,1321.5,19283.8,18337.0,8090,52,5,0,222,24.80,2760
32.5,110.3,12.57,16.3,17.3,465.1,575.4,16.3,37,86,1321.8,19287.1,18353.1,8723,52,5,0,222,24.86,2767
34.5,110.2,13.11,15.8,16.8,485.1,595.3,16.8,37,86,1322.1,19288.2,18322.0,9284,52,4,0,222,24.91,2760
36.5,110.7,11.04,13.8,14.8,408.5,519.2,14.4,37,86,1322.3,19288.8,18341.4,9787,52,5,0,222,24.82,2760
38.6,110.4,10.35,12.9,14.8,382.8,493.2,13.9,37,86,1322.4,19289.5,18331.5,10404,53,5,0,222,24.69,2760
40.6,110.7,10.57,12.4,13.3,391.1,501.8,14.0,37,86,1322.6,19290.3,18343.6,10949,53,5,0,222,24.71,2760
42.6,110.2,11.83,14.8,15.3,437.7,547.9,15.6,37,86,1322.8,19290.9,18348.2,11463,53,5,0,222,24.77,2760
44.6,110.3,10.75,12.8,13.4,397.7,508.0,14.1,37,86,1322.9,19291.6,18339.5,11960,53,5,0,222,24.72,2760
46.6,110.4,11.06,13.4,13.4,409.4,519.8,15.6,37,86,1323.0,19292.4,18315.9,12425,53,5,0,222,24.62,2767
48.7,110.8,11.31,13.4,15.3,418.3,529.1,15.0,37,86,1323.1,19293.1,18303.8,12996,53,5,0,222,24.70,2760
50.7,110.3,11.05,12.9,13.9,408.9,519.2,14.5,37,86,1323.3,19294.7,18324.4,13618,53,5,0,222,24.65,2760
52.7,110.1,11.48,14.3,15.3,424.6,534.7,15.3,37,86,1323.4,19296.8,18329.1,14144,53,5,0,222,24.68,2760
54.7,110.3,10.96,12.9,15.3,405.6,515.9,14.9,37,86,1323.5,19298.0,18320.0,14650,53,5,0,222,24.72,2760
56.8,110.7,11.11,12.8,14.3,411.0,521.7,14.5,37,86,1323.6,19299.6,18331.3,15202,53,4,0,222,24.81,2745
58.8,109.7,10.92,12.8,13.3,404.1,513.8,14.7,37,86,1323.7,19301.0,18328.3,15728,53,5,0,222,24.84,2760
60.8,110.7,11.35,13.8,15.8,419.8,530.5,15.1,37,86,1323.7,19302.5,18338.3,16255,53,4,0,222,24.63,2760
62.8,110.3,10.94,12.4,12.9,404.9,515.2,14.4,37,86,1323.8,19303.4,18348.9,16824,53,5,0,222,24.78,2760
64.8,109.9,11.2,13.4,13.9,414.4,524.3,14.9,37,86,1323.8,19304.6,18336.4,17306,53,5,0,222,24.75,2760
66.9,110.8,10.78,12.9,13.9,398.9,509.7,14.4,37,86,1323.9,19305.9,18344.5,17792,53,5,0,222,24.80,2760
68.9,110.4,11.02,13.4,14.4,407.9,518.3,14.7,37,86,1323.9,19306.6,18328.6,18277,53,5,0,222,24.78,2760
70.9,110.2,10.63,12.4,13.3,393.3,503.5,14.3,37,86,1324.0,19307.9,18332.2,18920,53,5,0,222,24.78,2760
72.9,110.8,10.93,12.9,13.9,404.4,515.2,14.3,37,86,1324.1,19309.2,18339.3,19505,53,5,0,222,24.87,2760
74.9,110.4,11.1,13.4,14.8,410.8,521.2,14.7,37,86,1324.1,19309.8,18323.2,20063,53,5,0,222,24.80,2760
77.0,110.3,10.67,12.4,13.4,394.9,505.2,14.7,37,86,1324.2,19310.7,18333.1,20598,53,5,0,222,24.76,2760
79.0,110.4,10.94,12.9,13.4,404.9,515.3,14.7,37,86,1324.2,19312.2,18321.2,21128,53,5,0,222,24.72,2752
81.0,110.7,11.0,12.8,13.3,407.1,517.8,14.5,37,86,1324.2,19312.7,18334.0,21685,53,5,0,222,24.90,2760
83.0,110.3,10.41,12.4,13.8,385.3,495.6,14.1,37,86,1324.3,19313.5,18341.6,22241,53,5,0,222,24.82,2760
85.1,109.9,11.11,12.4,13.4,410.9,520.8,14.7,37,86,1324.3,19314.5,18325.7,22814,53,5,0,222,24.92,2752
87.1,110.4,10.86,12.9,12.9,401.9,512.3,14.6,37,86,1324.3,19315.1,18319.8,23372,53,5,0,222,24.88,2760
89.1,110.7,10.84,12.4,12.9,400.9,511.6,14.4,37,86,1324.4,19316.0,18309.5,23922,53,5,0,222,24.93,2760
91.1,110.3,10.92,12.4,14.3,404.1,514.4,14.8,37,86,1324.4,19317.1,18308.6,24360,53,5,0,222,24.94,2760
93.1,110.4,10.75,12.9,12.9,397.9,508.3,14.4,37,86,1324.4,19317.8,18322.2,24896,53,5,0,222,24.93,2760
95.2,110.4,10.65,12.4,12.4,393.9,504.3,14.8,37,86,1324.4,19318.7,18308.6,25434,53,4,0,222,24.77,2760
97.2,110.2,10.64,12.4,12.8,393.6,503.8,14.0,37,86,1324.5,19319.5,18324.0,25993,53,5,0,222,24.76,2760
