t_s,parent_cpu,worker_cpu_mean,worker_cpu_p90,worker_cpu_max,worker_cpu_sum,tree_cpu,system_cpu,children,parent_threads,parent_rss_mb,tree_rss_mb,mem_available_mb,parent_ctx_vol,parent_ctx_invol,gpu_util,gpu_mem_util,gpu_mem_used_mb,gpu_power_w,gpu_clock_sm
2.0,303.6,,,,,303.6,8.6,0,43,612.0,612.0,29106.2,65,46,0,1,2,7.88,180
4.2,68.6,70.61,125.0,130.0,3460.1,3528.7,34.5,49,50,753.6,5289.3,26084.7,143,54,0,1,142,7.89,180
6.3,3.3,70.19,112.8,134.0,3439.3,3442.6,96.2,49,50,753.6,19170.4,19783.3,185,54,0,0,156,18.20,2580
8.4,1.4,68.66,104.3,119.0,3364.5,3365.9,95.0,49,50,753.6,22650.3,17685.8,227,54,0,0,156,18.08,2580
10.5,28.0,68.62,91.1,97.5,3362.6,3390.6,96.1,49,50,1093.5,24691.9,15371.9,270,56,0,0,200,18.10,2580
12.5,109.0,22.08,49.5,58.0,1081.7,1190.7,33.9,49,98,1316.2,25377.1,14841.5,1394,57,6,0,222,24.14,2752
14.5,110.5,6.34,6.9,7.9,310.9,421.4,12.2,49,98,1317.2,25389.8,14874.7,2508,57,5,0,222,24.93,2752
16.5,109.8,6.57,7.4,7.4,321.7,431.5,12.1,49,98,1318.2,25393.3,14890.0,3532,57,5,0,222,24.69,2752
18.5,110.8,6.67,7.4,7.9,326.7,437.5,12.6,49,98,1319.2,25401.3,14875.0,4573,57,5,0,222,24.96,2760
20.6,110.1,6.91,7.4,8.9,338.7,448.8,12.9,49,98,1320.0,25404.0,14919.9,5476,57,5,0,222,25.04,2760
22.6,111.0,7.21,7.9,8.4,353.2,464.2,13.3,49,98,1321.0,25409.2,14938.3,6438,57,5,0,222,25.06,2760
24.6,110.6,7.29,8.4,9.9,357.2,467.8,13.3,49,98,1321.8,25412.8,14950.0,7344,57,5,0,222,25.00,2760
26.6,110.5,7.38,8.4,8.9,361.7,472.2,13.3,49,98,1322.5,25416.6,14964.2,8313,57,5,0,222,25.02,2760
28.7,110.4,7.49,8.4,8.9,367.2,477.6,14.0,49,98,1323.2,25420.7,14945.0,9198,57,4,0,222,25.01,2760
30.7,110.5,7.48,8.9,8.9,366.7,477.2,13.5,49,98,1323.7,25423.2,14960.1,10005,57,5,0,222,25.06,2767
32.7,110.0,7.75,8.9,9.9,379.7,489.7,16.5,49,98,1324.2,25428.3,15006.5,10829,57,5,0,222,24.95,2760
34.7,110.1,7.86,8.9,9.9,385.2,495.3,14.4,49,98,1324.6,25430.0,14992.9,11566,57,5,0,222,25.07,2760
36.8,110.5,8.35,9.4,9.9,409.2,519.7,14.7,49,98,1324.9,25434.2,14999.8,12311,57,5,0,222,24.95,2760
38.8,111.0,8.32,9.4,12.3,407.6,518.6,14.7,49,98,1325.3,25435.7,14984.8,13122,57,5,0,222,25.05,2752
40.8,110.4,9.47,12.3,12.8,464.2,574.6,16.1,49,98,1325.6,25439.7,14990.2,13900,57,5,0,222,25.01,2752
42.9,109.9,10.3,13.3,14.8,504.7,614.6,17.5,49,98,1325.9,25440.9,14966.8,14554,57,5,0,222,25.02,2760
44.9,110.0,9.14,10.9,11.8,447.7,557.7,15.9,49,98,1326.2,25441.9,14966.2,15138,57,5,0,222,25.00,2760
46.9,111.0,8.61,9.9,11.4,421.7,532.7,15.1,49,98,1326.4,25442.6,14976.5,15783,57,5,0,222,25.14,2760
48.9,110.0,8.78,9.9,11.4,430.2,540.2,15.2,49,98,1326.5,25443.4,14970.2,16487,57,5,0,222,25.15,2760
51.0,110.2,8.89,9.9,10.4,435.7,545.9,15.3,49,98,1326.7,25444.1,14981.0,17181,57,5,0,222,24.95,2760
53.0,110.6,8.89,9.9,10.4,435.7,546.3,15.6,49,98,1326.9,25444.7,14973.7,17969,57,5,0,222,25.13,2760
55.0,110.5,8.98,9.9,10.9,440.2,550.7,15.8,49,98,1327.0,25445.4,14975.5,18534,57,4,0,222,25.02,2752
57.0,110.4,9.16,10.4,11.3,448.6,559.0,15.8,49,98,1327.1,25446.0,14983.1,19207,57,4,0,222,25.12,2752
59.1,110.1,8.96,10.4,11.4,439.0,549.1,15.9,49,98,1327.2,25446.7,14952.1,19799,57,5,0,222,25.10,2760
61.1,109.6,9.19,10.4,11.4,450.2,559.8,18.0,49,98,1327.3,25447.5,14972.5,20327,57,5,0,222,24.93,2760
63.1,110.9,9.36,10.4,11.3,458.7,569.6,16.1,49,98,1327.4,25448.7,14986.1,20959,57,5,0,222,25.02,2752
65.1,110.1,9.34,10.4,11.8,457.6,567.7,16.1,49,98,1327.5,25450.1,14983.3,21629,57,5,0,222,25.11,2752
67.2,110.5,9.39,10.9,12.3,459.9,570.4,16.3,49,98,1327.6,25451.9,14980.8,22237,57,5,0,222,25.00,2760
69.2,110.3,9.56,10.8,11.3,468.2,578.5,16.1,49,98,1327.8,25453.4,14973.1,22819,57,5,0,222,24.88,2760
71.2,110.1,9.54,10.9,11.8,467.6,577.7,16.2,49,98,1327.8,25455.6,14979.6,23447,57,5,0,222,24.96,2760
73.2,110.1,9.33,10.4,11.4,457.2,567.3,15.8,49,98,1327.9,25457.1,14978.3,24042,57,5,0,222,24.95,2752
75.3,110.4,9.39,10.8,11.3,460.1,570.5,15.9,49,98,1328.0,25458.6,14984.9,24641,58,5,0,222,24.92,2760
77.3,110.1,9.09,10.4,11.4,445.2,555.3,15.7,49,98,1328.1,25459.8,14986.7,25247,58,4,0,222,24.92,2760
