t_s,parent_cpu,worker_cpu_mean,worker_cpu_p90,worker_cpu_max,worker_cpu_sum,tree_cpu,system_cpu,children,parent_threads,parent_rss_mb,tree_rss_mb,mem_available_mb,parent_ctx_vol,parent_ctx_invol,gpu_util,gpu_mem_util,gpu_mem_used_mb,gpu_power_w,gpu_clock_sm
2.0,303.5,,,,,303.5,8.9,0,43,607.7,607.7,29136.4,70,52,0,1,2,8.08,180
4.3,69.3,51.89,88.1,110.8,3373.0,3442.3,36.1,65,50,753.7,5051.8,26193.0,159,72,0,1,142,8.03,180
6.5,3.3,52.43,74.6,144.7,3407.9,3411.2,96.8,65,50,753.7,21906.1,18778.9,200,74,0,0,156,18.37,2580
8.6,1.9,53.17,89.7,115.7,3456.3,3458.2,95.8,65,50,753.7,27748.0,15384.5,242,75,0,0,156,18.32,2580
10.6,1.4,52.61,80.7,114.4,3419.6,3421.0,96.9,65,50,753.7,30398.3,13202.2,282,77,0,0,156,18.25,2580
12.8,41.5,52.43,71.2,97.1,3407.7,3449.2,97.1,65,50,1178.6,32442.8,11240.0,323,77,0,0,222,18.26,2580
14.8,95.5,34.15,66.1,70.6,2219.9,2315.4,65.1,65,114,1317.0,33431.9,10450.7,1268,98,3,0,222,21.45,2760
16.8,111.2,4.88,5.4,5.9,317.0,428.2,12.4,65,114,1318.4,33448.1,10461.5,2812,98,5,0,222,24.90,2752
18.8,111.1,4.8,5.4,5.9,311.7,422.8,12.3,65,114,1319.2,33456.5,10458.4,4168,98,5,0,222,24.98,2760
20.9,110.0,4.92,5.4,5.9,319.6,429.6,12.4,65,114,1320.2,33460.1,10451.8,5366,98,5,0,222,25.01,2760
22.9,111.0,5.06,5.4,5.9,328.6,439.6,12.6,65,114,1321.2,33469.1,10464.8,6585,98,5,0,222,25.12,2760
24.9,111.2,4.97,5.4,5.9,323.1,434.3,12.6,65,114,1322.1,33472.2,10439.5,7795,98,5,0,222,25.01,2760
27.0,110.5,5.36,5.9,6.4,348.1,458.6,13.1,65,114,1323.1,33477.0,10456.2,8880,98,5,0,222,25.02,2760
29.0,110.1,5.42,5.9,6.9,352.1,462.2,13.1,65,114,1323.9,33481.6,10463.7,9992,98,5,0,222,25.12,2760
31.0,110.7,5.46,6.4,6.4,354.6,465.3,13.2,65,114,1324.6,33483.8,10459.1,11079,98,5,0,222,24.98,2760
33.1,110.7,5.52,6.4,7.4,359.1,469.8,13.1,65,114,1325.4,33490.0,10471.5,12173,98,5,0,222,25.09,2760
35.1,110.5,5.51,6.4,6.4,358.1,468.6,13.5,65,114,1326.1,33492.2,10475.5,13275,98,4,0,222,25.17,2760
37.1,111.1,5.7,6.4,7.4,370.6,481.7,13.7,65,114,1326.7,33496.0,10487.1,14233,98,5,0,222,25.01,2760
39.2,110.0,5.86,6.9,7.9,381.1,491.1,13.8,65,114,1327.2,33499.4,10490.6,15235,98,5,0,222,25.22,2760
41.2,110.9,5.97,6.9,7.9,388.1,499.0,14.0,65,114,1327.8,33501.8,10477.4,16212,98,5,0,222,25.12,2760
43.2,110.7,5.91,6.4,6.9,384.1,494.8,13.9,65,114,1328.2,33507.1,10483.7,17251,98,5,0,222,25.17,2760
45.3,110.6,5.92,6.9,7.4,385.1,495.7,14.2,65,114,1328.6,33508.7,10461.9,18277,98,5,0,222,25.01,2760
47.3,110.9,6.15,6.9,7.9,399.6,510.5,14.2,65,114,1329.0,33512.5,10470.9,19251,98,5,0,222,25.00,2760
49.3,110.5,6.24,6.9,7.9,405.6,516.1,14.9,65,114,1329.3,33515.2,10472.2,20165,98,5,0,222,24.95,2760
51.4,110.5,6.15,6.9,10.3,399.9,510.4,14.8,65,114,1329.7,33517.1,10473.2,21087,98,5,0,222,24.98,2760
53.4,110.4,6.87,9.3,11.3,446.3,556.7,15.8,65,114,1330.0,33521.2,10476.7,21994,98,5,0,222,25.06,2760
55.4,110.1,7.5,10.3,12.8,487.3,597.4,16.8,65,114,1330.3,33522.4,10474.3,22846,98,5,0,222,24.93,2760
57.5,110.0,7.55,9.3,10.8,490.6,600.6,16.9,65,114,1330.6,33523.6,10468.6,23657,98,5,0,222,24.97,2760
59.5,110.7,6.81,8.9,9.8,442.6,553.3,15.5,65,114,1330.8,33524.5,10448.4,24426,98,5,0,222,24.96,2760
61.5,110.7,6.37,7.4,7.4,414.1,524.8,15.0,65,114,1331.1,33525.1,10456.0,25298,98,4,0,222,25.17,2760
63.6,110.7,6.73,7.4,7.9,437.6,548.3,15.5,65,114,1331.2,33526.1,10459.5,26089,98,5,0,222,25.17,2760
65.6,110.4,6.53,7.4,8.4,424.6,535.0,15.5,65,114,1331.4,33526.8,10434.9,26817,98,5,0,222,25.18,2760
