t_s,parent_cpu,worker_cpu_mean,worker_cpu_p90,worker_cpu_max,worker_cpu_sum,tree_cpu,system_cpu,children,parent_threads,parent_rss_mb,tree_rss_mb,mem_available_mb,parent_ctx_vol,parent_ctx_invol,gpu_util,gpu_mem_util,gpu_mem_used_mb,gpu_power_w,gpu_clock_sm
2.0,159.6,0.0,0.0,0.0,0.0,159.6,41.9,51,45,755.0,20338.0,81916.9,145,69,0,0,1,55.85,2475
4.0,40.4,50.49,69.4,72.4,2474.2,2514.6,78.8,49,93,1329.2,25411.1,77128.6,499,70,0,0,526,57.09,2527
6.0,109.3,8.99,10.0,10.0,440.5,549.8,17.7,49,93,1329.5,25435.0,77092.2,2151,70,4,0,672,64.49,2572
8.0,107.8,9.6,10.5,11.0,470.5,578.3,18.3,49,93,1330.2,25457.0,77070.5,3682,70,7,0,672,92.82,2692
10.0,108.2,11.95,13.5,14.0,585.5,693.7,21.6,49,93,1332.3,25462.9,77057.0,5116,70,7,0,672,92.40,2700
12.0,108.2,10.8,12.0,13.0,529.0,637.2,19.7,49,93,1333.6,25465.2,77047.1,6570,70,7,0,672,93.65,2700
14.0,107.7,10.72,12.0,12.5,525.5,633.2,19.4,49,93,1334.3,25472.7,77040.3,8124,70,8,0,672,92.47,2692
16.0,108.2,11.06,12.5,13.0,542.0,650.2,20.6,49,93,1334.3,25479.4,77028.8,9686,70,7,0,672,92.08,2692
18.0,108.2,10.7,12.0,12.5,524.5,632.7,19.6,49,93,1334.9,25486.6,77022.1,11236,70,7,0,672,92.14,2685
20.0,108.2,11.04,12.5,13.0,541.0,649.2,20.7,49,93,1334.9,25493.1,77015.4,12745,70,8,0,672,93.19,2685
22.1,107.7,10.31,11.5,12.0,505.0,612.7,19.4,49,93,1335.1,25499.5,77009.1,14266,70,7,0,672,91.99,2700
24.1,107.7,10.39,11.5,12.5,509.0,616.7,19.6,49,93,1335.4,25502.4,77000.7,15765,70,7,0,672,92.28,2692
26.1,108.3,10.39,12.0,12.5,509.0,617.3,18.9,49,93,1335.6,25510.6,76992.1,17290,70,7,0,672,92.93,2707
28.1,107.8,10.2,11.5,13.0,500.0,607.8,18.9,49,93,1335.6,25514.7,76987.5,18867,70,8,0,672,93.05,2685
30.1,108.2,9.44,11.0,12.0,462.5,570.7,17.8,49,93,1335.6,25516.3,76982.0,20336,70,7,0,672,92.91,2692
32.1,107.8,9.11,10.5,14.0,446.5,554.3,17.5,49,93,1335.9,25517.8,76977.3,21807,70,7,0,672,91.91,2700
34.1,107.7,9.51,11.0,12.0,466.0,573.7,17.7,49,93,1336.1,25518.6,76974.2,23333,70,7,0,672,93.27,2692
36.1,108.2,9.42,11.0,12.5,461.5,569.7,18.4,49,93,1336.4,25519.6,76967.7,24859,70,7,0,672,93.84,2692
38.1,108.2,9.4,11.0,12.5,460.5,568.7,17.7,49,93,1336.7,25521.7,76964.3,26537,70,7,0,672,92.65,2700
40.1,107.7,8.85,10.5,11.5,433.5,541.2,16.7,49,93,1336.9,25523.8,76960.1,28047,70,7,0,672,93.27,2692
42.1,108.2,8.66,10.0,12.5,424.5,532.7,16.7,49,93,1337.4,25525.3,76957.4,29551,70,7,0,672,93.00,2700
44.1,108.2,8.57,10.0,10.5,411.5,519.7,16.7,48,93,1339.0,25023.7,77234.8,30883,70,8,0,672,94.29,2692
46.1,108.7,8.1,9.5,11.5,389.0,497.7,15.1,48,93,1340.0,25025.4,77227.1,32258,70,7,0,672,93.09,2700
48.1,108.3,8.55,10.0,11.5,402.0,510.3,15.9,47,93,1342.6,24524.5,77505.6,33436,70,8,0,672,94.39,2707
50.1,108.3,8.48,10.0,12.5,381.5,489.8,15.5,45,93,1346.9,23523.3,78063.6,34815,70,8,0,672,93.99,2700
52.1,107.3,8.82,10.0,11.0,344.0,451.3,15.1,39,93,1356.0,20512.9,79743.6,35768,70,8,0,672,95.26,2715
54.1,103.8,9.3,10.5,11.0,325.5,429.3,14.4,35,93,1361.4,18502.3,80867.4,36804,70,8,0,672,94.05,2707
56.1,103.8,9.89,11.0,13.5,326.5,430.3,14.6,33,93,1369.3,17509.6,81427.2,37490,70,8,0,672,93.39,2670
