t_s,parent_cpu,worker_cpu_mean,worker_cpu_p90,worker_cpu_max,worker_cpu_sum,tree_cpu,system_cpu,children,parent_threads,parent_rss_mb,tree_rss_mb,mem_available_mb,parent_ctx_vol,parent_ctx_invol,gpu_util,gpu_mem_util,gpu_mem_used_mb,gpu_power_w,gpu_clock_sm
2.0,303.5,,,,,303.5,8.9,0,42,599.7,599.7,28819.3,57,46,0,1,2,7.75,180
4.2,73.9,67.26,121.1,140.7,3295.9,3369.8,30.6,49,50,753.7,4510.5,26342.9,138,51,0,0,142,8.49,180
6.3,2.3,69.63,114.3,134.4,3412.0,3414.3,96.6,49,50,753.7,18739.5,19734.7,179,58,0,0,156,17.34,2580
8.4,1.4,67.73,111.6,146.4,3318.8,3320.2,93.1,49,50,753.7,22457.2,17480.1,219,58,0,0,156,17.17,2572
10.5,19.4,69.36,96.0,97.1,3398.7,3418.1,95.7,49,50,997.3,24525.9,15411.1,259,59,0,0,200,17.09,2572
12.5,108.0,27.01,52.3,64.1,1323.6,1431.6,40.0,49,98,1323.8,25398.7,14609.4,854,60,3,0,242,24.33,2752
14.5,111.8,6.81,7.4,8.4,333.7,445.5,12.7,49,98,1324.8,25411.8,14607.0,1298,60,4,0,242,24.47,2745
16.5,111.9,7.1,7.9,8.4,347.7,459.6,13.9,49,98,1325.9,25416.6,14586.3,1703,60,4,0,242,24.49,2745
18.6,111.7,6.83,7.4,7.9,334.7,446.4,13.1,49,98,1326.9,25423.6,14580.0,2207,60,4,0,242,24.38,2752
20.6,112.0,7.31,8.4,9.4,358.2,470.2,13.8,49,98,1327.8,25428.6,14578.8,2909,60,4,0,242,24.35,2752
22.6,112.1,8.03,8.9,9.9,393.7,505.8,15.7,49,98,1328.8,25431.9,14524.9,3470,60,3,0,242,24.64,2745
24.6,110.9,7.5,8.4,9.4,367.7,478.6,13.7,49,98,1329.8,25437.8,14523.4,4097,60,4,0,242,24.46,2745
26.7,111.8,8.09,9.4,10.3,396.6,508.4,15.0,49,98,1330.6,25440.4,14525.5,4661,60,4,0,242,24.58,2752
28.7,111.4,7.8,8.9,9.4,382.2,493.6,14.2,49,98,1331.2,25444.7,14555.6,5403,60,3,0,242,24.61,2752
30.7,111.8,8.62,9.9,10.8,422.4,534.2,18.0,49,98,1331.9,25449.3,14582.9,5988,60,4,0,242,24.72,2752
32.7,111.2,7.69,8.9,9.3,377.0,488.2,13.9,49,98,1332.3,25451.9,14612.8,6755,60,3,0,242,24.40,2752
34.8,111.8,8.6,9.8,10.3,421.5,533.3,15.3,49,98,1332.7,25456.1,14634.5,7378,60,4,0,242,24.53,2745
36.8,111.3,8.92,10.3,13.8,437.2,548.5,15.6,49,98,1333.1,25457.9,14661.4,8031,60,4,0,242,24.48,2752
38.8,111.9,10.47,13.8,15.3,512.9,624.8,19.3,49,98,1333.5,25462.2,14610.7,8567,60,4,0,242,24.62,2745
40.9,111.2,11.09,13.3,13.8,543.6,654.8,20.9,49,98,1333.8,25463.6,14703.7,9095,60,4,0,242,24.74,2745
42.9,111.9,9.67,11.3,12.8,474.0,585.9,16.7,49,98,1334.0,25464.6,14708.7,9731,60,4,0,242,24.60,2752
44.9,111.9,9.42,10.9,11.3,461.7,573.6,16.7,49,98,1334.3,25465.6,14713.1,10281,60,3,0,242,24.45,2745
46.9,111.9,9.27,10.4,10.8,454.3,566.2,16.5,49,98,1334.5,25466.3,14718.5,10887,60,4,0,242,24.66,2745
49.0,110.8,9.25,10.3,11.3,453.4,564.2,16.6,49,98,1334.7,25467.1,14728.5,11461,60,4,0,242,24.60,2752
51.0,111.8,9.12,10.3,11.3,446.9,558.7,16.3,49,98,1334.9,25467.8,14726.6,11949,60,3,0,242,24.60,2752
53.0,111.7,9.32,10.3,11.3,456.9,568.6,16.7,49,98,1335.0,25468.6,14740.9,12580,60,4,0,242,24.56,2745
55.1,111.4,9.38,11.3,11.8,459.6,571.0,16.3,49,98,1335.1,25469.2,14749.9,13120,60,3,0,242,24.55,2752
57.1,111.8,10.14,11.8,13.8,496.8,608.6,18.8,49,98,1335.2,25470.3,14729.9,13724,60,4,0,242,24.68,2752
59.1,110.9,9.38,10.8,11.8,459.6,570.5,16.2,49,98,1335.3,25471.7,14732.6,14278,60,3,0,242,24.54,2752
61.2,111.5,9.99,11.3,12.8,489.4,600.9,17.8,49,98,1335.4,25472.9,14739.3,14839,60,4,0,242,24.39,2752
63.2,111.8,9.69,11.3,12.3,474.9,586.7,16.7,49,98,1335.6,25475.3,14740.9,15375,60,3,0,242,24.52,2745
65.2,111.8,9.87,11.3,11.3,483.6,595.4,17.1,49,98,1335.7,25476.6,14739.2,15941,60,4,0,242,24.42,2745
67.2,111.3,9.27,10.4,11.8,454.2,565.5,16.4,49,98,1335.7,25479.0,14730.1,16444,60,4,0,242,24.66,2752
69.3,111.3,9.53,10.8,11.8,467.1,578.4,16.3,49,98,1335.8,25480.4,14731.7,16938,60,4,0,242,24.51,2745
71.3,112.1,9.53,10.8,11.8,467.1,579.2,17.0,49,98,1335.9,25481.9,14731.9,17477,60,4,0,242,24.50,2752
73.3,111.3,9.94,11.3,11.8,487.0,598.3,16.9,49,98,1335.9,25483.7,14733.5,17999,60,4,0,242,24.79,2752
75.4,111.4,9.32,10.4,12.8,456.9,568.3,16.2,49,98,1336.0,25484.8,14734.7,18620,61,4,0,242,24.61,2752
77.4,111.3,9.12,10.8,11.3,446.9,558.2,16.1,49,98,1336.0,25486.0,14736.6,19149,61,3,0,242,24.81,2745
79.4,112.1,10.09,12.3,12.8,494.6,606.7,17.2,49,98,1336.1,25487.2,14737.0,19742,61,4,0,242,24.74,2745
81.5,110.9,9.14,10.3,11.8,447.7,558.6,16.2,49,98,1336.2,25488.5,14735.5,20295,61,3,0,242,24.62,2745
83.5,111.2,9.11,10.3,10.8,446.6,557.8,16.4,49,98,1336.2,25489.6,14714.0,20887,61,3,0,242,24.81,2745
85.5,110.8,9.07,10.3,11.3,444.3,555.1,16.0,49,98,1336.3,25491.0,14699.5,21478,61,3,0,242,24.71,2752
87.6,111.3,9.07,10.3,11.3,444.5,555.8,16.0,49,98,1336.4,25492.2,14705.7,21989,61,3,0,242,24.78,2752
89.6,111.5,9.14,10.4,11.8,448.1,559.6,16.1,49,98,1336.4,25493.1,14709.3,22626,61,4,0,242,24.77,2745
91.6,111.5,9.57,10.8,10.9,468.9,580.4,17.1,49,98,1336.5,25494.3,14720.7,23126,61,4,0,242,24.81,2745
93.6,111.3,9.58,10.8,12.3,469.4,580.7,16.6,49,98,1336.5,25494.9,14712.7,23723,61,3,0,242,24.71,2745
95.7,111.4,9.49,10.8,11.8,465.0,576.4,16.6,49,98,1336.6,25496.4,14710.0,24263,61,4,0,242,24.94,2745
97.7,110.3,8.86,9.8,11.3,434.0,544.3,15.4,49,98,1336.6,25497.2,14712.8,24781,61,3,0,242,24.62,2745
99.7,112.0,10.49,12.3,13.8,514.1,626.1,21.9,49,98,1336.6,25498.3,14626.5,25256,61,3,0,242,24.64,2752
101.8,111.4,10.07,11.3,13.3,493.6,605.0,20.1,49,98,1336.7,25499.3,14453.4,25766,61,4,0,242,25.07,2752
103.8,111.7,10.19,11.9,12.4,499.2,610.9,20.4,49,98,1336.7,25500.3,14473.9,26253,61,4,0,242,24.91,2745
105.8,111.0,9.99,11.3,11.8,489.6,600.6,19.4,49,98,1336.8,25501.5,14516.9,26736,61,4,0,242,25.17,2752
107.9,111.7,9.26,10.3,11.3,453.8,565.5,16.3,49,98,1336.8,25502.4,14548.4,27275,61,3,0,242,24.74,2752
