t_s,parent_cpu,worker_cpu_mean,worker_cpu_p90,worker_cpu_max,worker_cpu_sum,tree_cpu,system_cpu,children,parent_threads,parent_rss_mb,tree_rss_mb,mem_available_mb,parent_ctx_vol,parent_ctx_invol,gpu_util,gpu_mem_util,gpu_mem_used_mb,gpu_power_w,gpu_clock_sm
2.0,302.9,,,,,302.9,8.6,0,43,612.7,612.7,28825.7,63,48,0,0,2,16.90,2145
4.3,68.8,51.01,88.1,110.0,3315.7,3384.5,37.2,65,50,753.7,5155.2,25935.1,149,69,0,0,142,8.65,247
6.4,3.8,52.57,66.3,135.7,3416.8,3420.6,96.4,65,50,753.7,21900.5,18457.2,191,70,0,0,156,18.18,2580
8.4,1.0,52.54,83.2,106.6,3414.8,3415.8,95.8,65,50,753.7,27684.2,15153.7,230,72,0,0,156,18.26,2580
10.5,2.4,52.98,81.9,142.8,3443.8,3446.2,96.3,65,50,753.7,30286.4,13205.3,271,77,0,0,156,18.22,2580
12.6,65.5,51.94,74.2,84.8,3376.4,3441.9,96.3,65,61,1318.7,32454.4,11295.6,394,77,2,0,242,18.76,2602
14.6,84.1,40.18,65.8,80.3,2611.9,2696.0,75.7,65,114,1324.8,33425.0,10281.6,1034,105,2,0,242,22.35,2722
16.6,111.7,4.9,5.4,5.9,318.7,430.4,12.6,65,114,1326.1,33440.3,10275.4,1821,105,4,0,242,25.34,2745
18.7,112.0,4.99,5.9,6.4,324.6,436.6,12.5,65,114,1326.9,33449.0,10349.4,2616,105,4,0,242,25.23,2760
20.7,111.9,5.3,5.9,6.4,344.6,456.5,12.9,65,114,1328.0,33454.1,10372.9,3530,105,3,0,242,25.31,2752
22.7,111.5,5.15,5.9,6.4,334.6,446.1,14.1,65,114,1329.0,33461.9,10381.6,4580,106,4,0,242,25.05,2752
24.7,111.8,5.93,6.9,7.4,385.6,497.4,15.8,65,114,1330.0,33466.3,10434.7,5401,106,4,0,242,25.63,2745
26.8,112.1,6.23,6.9,7.9,405.1,517.2,16.5,65,114,1331.1,33471.8,10418.1,6171,106,4,0,242,25.25,2752
28.8,112.6,6.08,6.9,7.4,395.1,507.7,15.0,65,114,1332.1,33475.8,10367.3,7094,106,4,0,242,25.38,2752
30.8,111.5,5.68,6.4,6.9,369.1,480.6,13.3,65,114,1333.0,33480.2,10379.6,8182,107,4,0,242,25.16,2752
32.9,112.0,5.88,6.4,7.4,382.1,494.1,14.3,65,114,1333.9,33484.5,10392.1,9262,107,4,0,242,25.06,2745
34.9,111.3,5.96,6.9,7.8,387.5,498.8,14.0,65,114,1334.6,33487.7,10370.7,10293,107,4,0,242,25.25,2745
36.9,112.0,5.93,6.9,7.4,385.6,497.6,14.0,65,114,1335.2,33492.0,10371.0,11258,107,4,0,242,25.33,2752
39.0,111.6,6.09,6.9,7.9,396.1,507.7,14.7,65,114,1335.8,33494.9,10345.4,12157,107,4,0,242,25.27,2752
41.0,112.0,6.36,7.4,7.9,413.6,525.6,15.1,65,114,1336.4,33499.9,10395.0,13154,107,4,0,242,25.29,2752
43.0,111.5,6.15,7.4,7.9,399.6,511.1,14.3,65,114,1336.8,33502.5,10375.2,14134,107,4,0,242,25.13,2752
45.1,110.9,5.98,6.9,7.4,388.6,499.5,14.1,65,114,1337.2,33505.6,10389.5,15025,107,4,0,242,25.17,2752
47.1,112.3,6.43,7.4,10.8,417.7,530.0,14.9,65,114,1337.5,33508.5,10403.7,16045,107,4,0,242,25.06,2752
49.2,111.8,7.09,7.9,11.3,460.7,572.5,16.4,65,114,1337.9,33511.2,10389.8,16943,107,3,0,242,25.25,2752
