t_s,parent_cpu,worker_cpu_mean,worker_cpu_p90,worker_cpu_max,worker_cpu_sum,tree_cpu,system_cpu,children,parent_threads,parent_rss_mb,tree_rss_mb,mem_available_mb,parent_ctx_vol,parent_ctx_invol,gpu_util,gpu_mem_util,gpu_mem_used_mb,gpu_power_w,gpu_clock_sm
2.0,304.0,,,,,304.0,9.3,0,43,610.3,610.3,28774.4,66,51,0,0,2,18.93,2580
4.2,68.9,67.32,120.2,125.1,3298.9,3367.8,34.8,49,50,753.3,5453.0,25860.4,142,55,0,0,142,10.14,517
6.3,2.4,69.77,110.8,146.7,3418.6,3421.0,95.8,49,50,753.3,19152.5,19552.3,183,57,0,0,156,18.41,2580
8.4,1.5,67.86,99.6,115.4,3325.1,3326.6,93.5,49,50,753.3,22454.3,17519.6,225,57,0,0,156,18.41,2580
10.5,33.6,68.89,96.2,97.7,3375.5,3409.1,96.3,49,51,1178.1,24661.0,15332.1,268,57,0,0,200,18.25,2580
12.5,104.6,28.95,57.8,62.3,1418.5,1523.1,42.5,49,98,1315.8,25392.8,14583.4,1006,57,5,0,242,23.23,2715
14.5,109.9,7.14,7.9,8.4,349.7,459.6,13.1,49,98,1316.9,25405.5,14588.8,1594,57,5,0,242,24.54,2722
16.5,109.8,7.44,8.4,8.9,364.7,474.5,13.9,49,98,1317.9,25411.0,14570.6,2263,57,5,0,242,24.53,2722
18.5,110.3,7.65,8.4,8.9,374.7,485.0,13.7,49,98,1318.8,25417.3,14569.9,2828,57,5,0,242,24.66,2715
20.6,109.7,7.88,8.9,10.9,386.2,495.9,14.6,49,98,1319.8,25422.4,14551.6,3361,57,5,0,242,24.73,2722
22.6,109.6,8.04,9.4,9.9,394.2,503.8,14.3,49,98,1320.6,25425.4,14556.0,4344,57,5,0,242,24.70,2715
24.6,109.5,8.03,8.9,9.9,393.7,503.2,14.7,49,98,1321.5,25431.2,14565.3,5497,57,4,0,242,24.12,2722
26.7,110.1,8.63,9.9,10.3,422.7,532.8,15.3,49,98,1322.3,25434.8,14575.4,6184,57,5,0,242,24.51,2715
28.7,109.3,8.42,9.8,10.3,412.8,522.1,15.3,49,98,1323.0,25438.2,14561.2,7121,57,5,0,242,24.53,2707
30.7,109.3,9.09,10.3,11.8,445.6,554.9,16.2,49,98,1323.6,25443.3,14611.5,7776,57,4,0,242,24.15,2715
32.7,109.4,8.97,10.4,10.8,439.5,548.9,16.1,49,98,1324.0,25445.8,14632.7,8504,57,5,0,242,24.36,2715
34.8,109.8,9.46,10.8,12.8,463.7,573.5,16.3,49,98,1324.4,25450.0,14664.0,9796,57,4,0,242,24.18,2715
36.8,109.3,9.67,11.8,14.3,473.7,583.0,16.9,49,98,1324.7,25453.0,14675.2,10716,57,4,0,242,24.29,2722
38.8,109.2,11.1,14.3,14.8,543.9,653.1,18.5,49,98,1325.1,25455.5,14695.8,12364,57,4,0,242,24.04,2715
40.9,109.3,10.72,13.3,14.8,525.3,634.6,18.3,49,98,1325.3,25456.8,14722.0,13952,57,4,0,242,23.95,2722
42.9,109.9,10.31,11.8,12.8,505.2,615.1,17.5,49,98,1325.5,25457.5,14710.5,15139,57,4,0,242,24.13,2715
44.9,109.7,9.97,11.8,13.3,488.4,598.1,17.5,49,98,1325.8,25458.6,14718.1,16295,57,4,0,242,24.28,2722
47.0,109.5,10.26,12.3,13.8,502.8,612.3,17.3,49,98,1326.0,25459.3,14711.2,17678,57,4,0,242,24.22,2715
49.0,109.0,10.32,12.3,12.8,505.5,614.5,17.4,49,98,1326.1,25460.0,14723.4,19045,57,4,0,242,24.16,2715
51.0,110.1,10.11,11.4,12.3,495.6,605.7,17.3,49,98,1326.3,25460.8,14732.2,20463,57,4,0,242,24.07,2722
53.0,109.1,10.48,11.8,13.8,513.7,622.8,17.8,49,98,1326.4,25461.4,14716.9,21613,58,4,0,242,24.07,2715
55.1,108.8,10.5,11.8,13.8,514.5,623.3,18.4,49,98,1326.5,25462.5,14722.2,22987,58,4,0,242,24.17,2715
57.1,109.6,10.27,11.8,12.8,503.1,612.7,17.6,49,98,1326.7,25463.5,14711.3,24487,58,4,0,242,24.23,2722
59.1,109.3,10.78,12.3,14.8,528.0,637.3,17.9,49,98,1326.8,25465.3,14721.4,25904,58,4,0,242,24.01,2715
61.2,110.2,10.36,12.3,13.3,507.8,618.0,17.9,49,98,1326.9,25467.1,14715.7,27385,58,4,0,242,24.02,2715
63.2,108.8,10.42,11.8,13.3,510.4,619.2,17.9,49,98,1327.0,25468.6,14700.4,28981,58,4,0,242,24.09,2715
65.2,110.3,10.83,12.3,14.3,530.8,641.1,18.4,49,98,1327.1,25471.1,14710.0,30432,58,4,0,242,24.02,2715
67.2,108.9,10.29,12.3,12.8,504.3,613.2,17.7,49,98,1327.2,25472.5,14703.1,31727,58,4,0,242,24.08,2715
69.3,109.7,10.58,12.3,13.3,518.3,628.0,18.3,49,98,1327.3,25474.4,14683.4,33060,58,4,0,242,24.11,2722
71.3,109.4,10.42,12.3,12.8,510.8,620.2,17.8,49,98,1327.4,25476.0,14690.5,34550,58,4,0,242,23.88,2715
